,I can easily log-in and log-out my Canvas account.,I can easily log-in and log-out my Canvas account. (Please write your views relating your answer above.),I can access my course using the mobile Canvas app. ,I can access my course using the mobile Canvas app. (Please write your views about this relating to your answer above.),I can access my course using the mobile Canvas app. .1,I can access my course using the mobile Canvas app. (Please write your views about this relating to your answer above.).1,I can access my Canvas account using the available computers in JRU.,I can access my Canvas account using the available computers in JRU. (Please write your views about this relating to your answer above.),I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. ,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. (Please write your views about this relating to your answer above.),I can easily get help when I have problems with my Canvas account.,I can easily get help when I have problems with my Canvas account. (Please write your views about this relating to your answer above.),I can access my Canvas account outside JRU. ,I can access my Canvas account outside JRU. (Please write your views about this relating to your answer above.),I can clearly understand the lessons on my Canvas modules. ,I can clearly understand the lessons on my Canvas modules. (Please write your views about this relating to your answer above.),I recognize that the modules in my course are well organized.,I recognize that the modules in my course are well organized. (Please write your views about this relating to your answer above.),I can easily manage the navigation of the courses through the desktop version. ,I can easily manage the navigation of the courses through the desktop version. .1,I can easily manage the navigation of the courses through the mobile app.,I can easily manage the navigation of the courses through the mobile app. (Please write your views about this relating to your answer above.),I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content. (Please write your views about this relating to your answer above.),I understand the lessons better with the help of course materials in Canvas. ,I understand the lessons better with the help of course materials in Canvas. (Please write your views about this relating to your answer above.),Canvas course materials make me interested.,Canvas course materials make me interested. (Please write your views about this relating to your answer above.),The course materials on Canvas helped me prepare for: [Face to Face discussions],The course materials on Canvas helped me prepare for: [Quizzes],The course materials on Canvas helped me prepare for: [Prelim/Mid-term/Final Exam],"The course materials on Canvas helped me prepare for: [Other Tasks (Assignments, Forums, etc.)]","The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums, etc. (Please write your views about this relating to your answer above.)",My instructor knows how to use Canvas.,My instructor knows how to use Canvas. (Please write your views about this relating to your answer above.),My instructor demonstrated mastery of the subject matter.,My instructor demonstrated mastery of the subject matter. (Please write your views about this relating to your answer above.),My instructor encourages me to use Canvas.,My instructor encourages me to use Canvas. (Please write your views about this relating to your answer above.),Canvas has made it easy for me to: [Communicate with my instructor],Canvas has made it easy for me to: [Receive class announcements],Canvas has made it easy for me to: [Share ideas on group discussions],"Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions","I can answer the assessment materials (quiz, exam) posted in Canvas.","I can answer the assessment materials (quiz, exam) posted in Canvas. (Please write your views about this relating to your answer above.)",I find the course materials on Canvas aligned with the: [Quizzes],"I find the course materials on Canvas aligned with the: [Major (Prelim, Mideterm, Final) Exam]","I find the course materials on Canvas aligned with the: [Other tasks (Assignements, Forums, etc.)]","I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, etc.) (Please write your views about this relating to your answer above.)",I have been give enough time to accomplish the activities on Canvas.,I have been give enough time to accomplish the activities on Canvas. (Please write your views about this relating to your answer above.)
100,Strongly Agree,i dont have problem in canvas,Strongly Agree,i can easily access my canvas,Strongly Agree,i can easily access my canvas,Agree,i don't have any problems in canvas,Strongly Agree,i don't have any issues in accessing my canvas account,Strongly Agree,i get my answer reliable and connected to my questions,Strongly Agree,i don't have problems in accessing my account,Strongly Agree,i don't have problems in the lesson in the canvas,Strongly Agree,the modules are well organized,Strongly Agree,its easy for me to navigate in pc,Strongly Agree,i can easily navigate my task in mobile app,Strongly Agree,i don't have problems regarding in this topic,Agree,i don't have problems regarding in this topic,Strongly Agree,i become interested in my canvas account,Agree,Strongly Agree,Strongly Agree,Strongly Agree,i don't have problems regarding in this topic,Strongly Agree,i don't have problems regarding in this topic,Strongly Agree,i don't have problems regarding in this topic,Strongly Agree,i don't have problems regarding in this topic,Strongly Agree,Strongly Agree,Strongly Agree,i don't have problems regarding in this topic,Strongly Agree,i don't have problems regarding in this topic,Strongly Agree,Strongly Agree,Strongly Agree,i don't have problems regarding in this topic,Strongly Agree,i don't have problems regarding in this topic
101,Strongly Agree,yes i can easily log in my canvas because the smooth computer here in our campus,Strongly Agree,yes i can access my course in my mobile app because canvas has online app,Strongly Agree,yes i can access even if i was far here in school,Strongly Agree,yes i can access because i has my own online account ,Strongly Agree,i don't have issue about accessing canvas using wifi because of the smooth internet,Strongly Agree,yes because i can communicate my class mate using canvas,Strongly Agree,yes because canvas was online website so i can browse it anywhere i can,Strongly Agree,yes because of the lessons they put in modules,Strongly Agree,yes it was organized,Strongly Agree,yes i can manage,Strongly Agree,yes even in my phone i can easily manage the navigation of my course,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Disagree,yes
102,Strongly Agree,I can always easily log-in and log-out to my canvas account.,Agree,"Yes, however, there's some problems like the notifications because we are not notified about the tasks in different subjects.",Agree,"Yes, however, there's some problems like the notifications because we are not notified about the tasks in different subjects.",Strongly Agree,I don't have any problem in accessing my canvas account using the available computers in JRU.,Strongly Agree,I don't have any issues.,Strongly Agree,I did not experience it yet but I observe my classmates that they easily get help in their problems in their Canvas Account.,Strongly Agree,I can always access my canvas account outside JRU.,Strongly Agree,I clearly understand all the lessons.,Agree,I noticed that there's a problem in the modules on the last week so there's a confusion about it.,Strongly Agree,I can easily manage the navigation of the courses through the desktop version.,Strongly Agree,There's no problem about the navigation of the courses through the mobile app.,Strongly Agree,All the information that the canvas have is tackled in classroom.,Strongly Agree,It will help us to easily understand especially the unfamiliar words.,Strongly Agree,"Yes of course, since I want to read more information.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,It will help me in all tasks.,Strongly Agree,My instructor is always help us.,Strongly Agree,My instructor is giving real experience about the topics.,Strongly Agree,My instructor always remind us about the usage of Canvas.,Strongly Disagree,Strongly Agree,Strongly Agree,"For the communication to my instructor, I am sending a message to my instructor if I have a question, clarification or problem but there's no reply comes from my instructor.",Strongly Agree,It will easily for me the assessment materials through the help of modules.,Strongly Agree,Strongly Agree,Strongly Agree,It will help us big.,Agree,"Sometimes, there's a problem in the time because there's a time that we are taught that the deadline is friday but it is tuesday."
103,Strongly Agree,YES IT IS EASILY TO LOG IN AND LOG OUT IN MY CANVAS,Strongly Agree,YES I CAN ACCESS MY COURSE ON MY MOBILE,Strongly Agree,YES I CAN ACCESS MY COURSE ON MY MOBILE,Strongly Agree,SOMETIMES THEY HAVE A PROBLEM I CAN`T SIGN IN ANY COMPUTERS IN THIS LAB,Strongly Agree,THE INTERNET CONNECTION IT IS IN GOOD CONDITION,Strongly Agree,YES IT IS EASILY,Strongly Agree,YES I CAN ACCESS,Strongly Agree,YES I CLEARLY UNDERSTAND ALL THE LESSON ,Strongly Agree,SOMETIMES I CAN`T RECOGNIZE BECAUSE OF LAG,Strongly Agree,YES IT IS EASILY,Strongly Agree,YES IT IS EASILY,Strongly Agree,YES I NOTICE THIS,Strongly Agree,I UNDERSTAND ALL OF THIS LESSON,Strongly Agree,YES I`M SO INTERESTED,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,YES THEY HELP ME CANVAS TO FINISH EASILY ALL MY WORKS,Strongly Agree,YES MY INSTRUCTOR IS VERYGOOD PROFESSOR,Strongly Agree,YES,Strongly Agree,YES,Strongly Agree,Strongly Agree,Strongly Agree,YES,Strongly Agree,YES,Strongly Agree,Strongly Agree,Strongly Agree,YES,Strongly Agree,YES
104,Strongly Agree,yes,Strongly Agree,yes,Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Disagree,yes,Strongly Agree,yes,Strongly Disagree,yes,Strongly Disagree,yes,Strongly Agree,yes,Strongly Disagree,yes,Strongly Disagree,yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Disagree,yes
105,Strongly Agree,Can easily log-in  and log-out because of fast internet connection.,Strongly Agree,I can access because of compatibility of the app to my mobile device.,Strongly Agree,I can access because of compatibility of the app to my mobile device.,Strongly Agree,I can access because of laboratory during class hours but sometimes I cannot access because of capacity of laboratory during peak hours,Agree,I can access but some computers have faulty wired connection,Strongly Agree,The help button is accessible,Strongly Agree,Yes because of moderate internet speed at home,Disagree,Some courses have incomplete modules or powerpoint,Disagree,Some courses have modules that named or labeled incorrect,Strongly Agree,The interface of desktop version is compatible with desktop and laptop,Disagree,The task in the calendar is not clickable or accessible,Agree,Some professors do not use modules on canvas instead they present their own course materials,Agree,Some modules is incoplete or have misleading content,Agree,Some modules is incoplete or have misleading content,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Some quizzes have questions that answers are not in the modules,Strongly Agree,They are well-trained to use it but others are lagging behind,Strongly Agree,They can teach those subject with ease and with further explanation,Strongly Agree,"All the activities, assignments and modules are in canvas",Agree,Strongly Agree,Strongly Agree,Some professors do not reply,Disagree,Some questions are not in the module,Disagree,Strongly Agree,Disagree,Major exams are only aligned with course materials ,Strongly Agree,The time given to us is flexible and long enough
106,Strongly Agree,Yes because it is easy to use,Strongly Agree,Yes because sometimes I use canvas mobile,Strongly Agree,yes because using mobile canvas app i can read my modules,Strongly Agree,Yes because in our laboratory there is enough computers for the students,Strongly Disagree,No because the internet connection in the laboratory is slow ,Strongly Agree,Yes because they provide technical support for canvas,Strongly Agree,yes because it is in world wide web,Strongly Disagree,No Because some slides are hard to understand,Strongly Agree,Yes,Strongly Agree,Yes because it is easy to use,Strongly Disagree,No because it not fit on screen,Strongly Agree,Yes because my prof is relying on the modules in canvas,Strongly Disagree,no it is hard to understand,Strongly Disagree,No because sometimes it is hard to understand,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes because the modules can be use to review,Strongly Agree,Yes because they can use canvas ,Strongly Agree,Yes ,Strongly Agree,yes the encourage us to read modules,Strongly Agree,Strongly Agree,Strongly Agree,Yes because of connection to each other,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Yes ,Strongly Agree,Yes because the deadlines are enough
107,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Agree,Yes,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree,Yes
108,Strongly Agree,it defends on the internet connection,Strongly Agree,yes i can access,Strongly Agree,yes i can access,Strongly Agree,yes i can access,Strongly Agree,it defends on the internet connection,Strongly Agree,yes i can get help in H211,Strongly Agree,yes i can access in my personal laptop,Strongly Agree,yes,Strongly Agree,yes,Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,help me to learn and study easily,Strongly Agree,yes they are,Strongly Agree,yes they are,Strongly Agree,yes they will because we alwaysuse canvas for activities and exam,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes they give aloted time
109,Strongly Agree,i dont have any problem with log in and log out,Strongly Agree,"yes, i can easily access my course",Strongly Agree,agree,Strongly Agree,I dont have any problem with accessing my canvas account,Strongly Agree,i dont have any issues,Strongly Agree,i can get help easily,Strongly Agree,"Yes, i can access my canvas outside the school",Strongly Agree,i understand it clearly,Strongly Agree,it is well organized,Strongly Agree,can use it easily,Strongly Agree,can manage easily,Strongly Agree,it has connection,Strongly Agree,i understand it clearly,Strongly Agree,it makes me interested,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,it helps a lot,Strongly Agree,they know how to use it,Strongly Agree,it is well demonstrated,Strongly Agree,it encourage a lot,Strongly Agree,Strongly Agree,Strongly Agree,can communicate easily,Strongly Agree,agree,Strongly Agree,Strongly Agree,Strongly Agree,agree,Strongly Agree,yes
110,Strongly Agree,i don't have a problem with that.,Strongly Agree,Yes. it's good the mobile app canvas.,Strongly Agree,definitely it's good.,Strongly Agree,"it's definitely yes, i don't have a problem with that.",Strongly Agree,the mbps of the internet connection is not bad but is good,Strongly Agree,i don't have a problem in canvas,Disagree,i can access but it's not automatically open because you need a code to your google account,Strongly Agree,I can understand any lessons but when it comes in exam the other question don't have in canvas,Strongly Agree,"yes, it's organized the modules",Strongly Agree,"yes, it's definitely good",Strongly Agree,"yes, it's definitely good",Strongly Agree,"yes, it's definitely good",Strongly Agree,"yes, it's definitely good",Strongly Agree,"yes, it's definitely good",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"yes, it's definitely good",Strongly Agree,"yes, it's definitely good",Strongly Agree,"yes, it's definitely good",Strongly Agree,"yes, it's definitely good",Strongly Agree,Strongly Agree,Strongly Agree,"yes, it's definitely good",Strongly Agree,"yes, it's definitely good",Strongly Agree,Strongly Agree,Strongly Agree,"yes, it's definitely good",Strongly Agree,i can access canvas
111,Strongly Agree,It's easy the computer is so fast,Strongly Agree,It's quick it's like a thunder,Strongly Agree,That's right,Strongly Agree,Probably absolute,Strongly Agree,Nothing it's all good,Strongly Agree,Beautiful,Strongly Agree,Nice,Strongly Agree,alright,Strongly Agree,Well organized,Strongly Agree,Very good,Strongly Agree,That's right,Strongly Agree,No problem,Strongly Agree,Everytime,Strongly Agree,Yes sir,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yah,Strongly Agree,Yes,Strongly Agree,Everything,Strongly Agree,Every single time,Strongly Agree,Strongly Agree,Strongly Agree,Yes really quick,Strongly Agree,Nice,Strongly Agree,Strongly Agree,Strongly Agree,Absolute,Strongly Agree,More time
112,Agree,Yes I can easily log in and log out,Agree,"yes I can access, but sometimes It have an error",Agree,Yes I can access,Strongly Agree,yes I can access canvas from jru computer ,Agree,I dont have issue accessing my canvas account,Strongly Agree,Yes I can easily get,Strongly Agree,yes i can use jru canvas outside the jru,Disagree,no because some module dosen't have a great explanation,Strongly Agree,yes its organize,Strongly Agree,yes i can manage,Strongly Agree,yes i can navigate,Strongly Agree,yes it have,Strongly Agree,yes ,Strongly Agree,yes it make me interest,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes ,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,yes it have,Strongly Agree,yes,Strongly Agree,Agree,Agree,yes it have ,Strongly Agree,no 
113,Strongly Agree,yes it make fast to log out and log in,Strongly Agree,sometimes  the internet so slow so i cant use canvas,Strongly Disagree,yes,Strongly Agree,i can go to library ,Strongly Agree,the internet is slow ,Strongly Disagree,yes i can go to h201 to verified my account,Strongly Agree,yes i can access with it,Strongly Agree,yes i can read my modules,Strongly Agree,yes it is writen week by week ,Strongly Agree,yes it easy to do desktop ,Strongly Agree,yes i can easily do it,Strongly Agree,yes the lesson also in canvas and the teacher can discuss it,Strongly Agree,yes ,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,nope sometime i cant accomplish through canvas because of the time of work
114,Strongly Agree,yes,Strongly Agree,yes,Agree,good,Agree,verrygood,Strongly Agree,verygood,Disagree,verygood,Agree,yes because its more information,Strongly Agree,verygood,Strongly Agree,verygood,Agree,verygood,Strongly Agree,because its more reliable,Agree,verygood,Strongly Agree,verygood,Agree,verygood,Strongly Agree,Strongly Agree,Strongly Agree,Agree,yhey instruct them how to use canvas,Strongly Agree,verygood,Disagree,verygood,Strongly Agree,verygood,Strongly Agree,Strongly Agree,Agree,verygood,Agree,verygood,Strongly Agree,Agree,Strongly Agree,verygood,Agree,verygood
115,Strongly Agree,Depend on the internet connection.,Strongly Agree,Same as web base.,Strongly Agree,Same as web base.,Strongly Agree,Agree,Agree,Some the internet connection is low.,Strongly Agree,Yes,Strongly Agree,Friendly user,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes its help a student a lot .,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes
116,Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,Strongly Agree,Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,Strongly Agree,Strongly Agree,"yes, because I dont have any problem in canvas",Strongly Agree,"yes, because I dont have any problem in canvas"
117,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes beacause its flexible,Strongly Agree,yes ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,because I can read the modules before the face to face discussion,Strongly Agree,yes so they can access some modules on canvas,Strongly Agree,well demontrated,Strongly Agree,Yes to know how to take the quizes,Strongly Agree,Strongly Agree,Strongly Agree,so we can communicate easily,Strongly Agree,because it can notify me,Strongly Agree,Strongly Agree,Strongly Agree,by dates,Strongly Agree,because there are dues
118,Strongly Agree,I can easily log-in and log-out my Canvas using my JRU account,Strongly Agree,By using mobile Canvas app I can easily check update about my subject course just using my mobile phone.,Strongly Agree,By using mobile Canvas app I can easily check update about my subject course just using my mobile phone.,Strongly Agree,I can access my Canvas account using the open lab to review in advance for my subjects.,Strongly Agree,Computer laboratories in JRU are well-maintained and have a good connection,Strongly Agree,I can easily get help in the IT department when I lost my password.,Strongly Agree,Even when I'm not in JRU I can still access my Canvas account.,Strongly Agree,Lessons on my Canvas modules are easy to understand,Strongly Agree,I can easily access the lectures in my course in Canvas,Strongly Agree,I can easily use the Dashboards navigation through desktop version,Strongly Agree,I can easily use the Dashboards navigation through mobile app,Agree,The course materials on Canvas is related on what we're taught in our discussion,Strongly Agree,Canvas course materials makes me more interested in the lecture because I can study in advance and can participate in the discussion,Agree,Canvas course materials makes me more interested in the lecture because I can study in advance and can participate in the discussion,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The modules and lectures help me very much to prepare for a discussion or quizzes and exams,Strongly Agree,My instructor knows how to use Canvas.,Strongly Agree,My professor taught me very well in line with the subject matter in Canvas,Strongly Agree,Lectures and quizzes encourage me to use Canvas,Strongly Agree,Strongly Agree,Agree,Canvas has made it easy for me to communicate with my professor and receive announcements ,Strongly Agree,I can answer the assessment materials ,Strongly Agree,Strongly Agree,Strongly Agree,Every lectures and modules in Canvas are  the taught on lecture day.,Strongly Agree,Time given is enough to finish an activity
119,Strongly Agree,i have no problem in my canvas,Strongly Agree,i have no problem in mobile canvas,Strongly Agree,i have no problem in mobile canvas,Strongly Agree,i have no problem in my canvas ,Strongly Agree,i have no problem in my canvas ,Strongly Agree,i have no problem in my canvas ,Strongly Agree,i have no problem in my canvas ,Strongly Agree,i have no problem in my canvas ,Strongly Agree,i have no problem in my canvas ,Strongly Agree,i have no problem in my canvas ,Strongly Agree,i have no problem in my canvas ,Strongly Agree,i have no problem in my canvas ,Strongly Agree,i have no problem in my canvas ,Strongly Agree,i have no problem in my canvas ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,i have no problem in my canvas ,Strongly Agree,My instructor knows how to use Canvas,Strongly Agree,My instructor demonstrated mastery of the subject matter,Strongly Agree,My instructor encourages me to use Canvas,Strongly Agree,Strongly Agree,Strongly Agree,Canvas has made it easy for me to communicate with my instructor,Strongly Agree,I can answer the assessment materials,Strongly Agree,Strongly Agree,Strongly Agree,I find the course materials on Canvas aligned ,Strongly Agree,I have been give enough time to accomplish the activities on Canvas
120,Strongly Agree,I can easily log-in,Strongly Agree,I can access my course using my mobile canvas,Strongly Agree,I can access my course,Strongly Agree,I can access my canvas account using the available computers in jru,Strongly Agree,I have no issues accessing my Canvas account,Agree,I can easily get help when I have problems,Strongly Agree,I can access my Canvas account outside jru,Strongly Agree,I can clearly understand the lessons on my Canvas modules,Strongly Agree,I recognize that the modules in my course are well organized,Strongly Agree,I can easily manage the navigation of the courses through the desktop version. ,Agree,I can easily manage the navigation of the courses through the mobile app.,Agree,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,Strongly Agree,I understand the lessons better with the help of course materials ,Agree,Canvas course materials make me interested.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums.",Strongly Agree,My instructor knows how to use Canvas.,Strongly Agree,My instructor demonstrated mastery of the subject matter. ,Strongly Agree,My instructor encourages me to use Canvas,Strongly Agree,Strongly Agree,Strongly Agree,"Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions.",Strongly Agree,I can answer the assessment materials,Strongly Agree,Strongly Agree,Strongly Agree,"I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums.",Strongly Agree,I have been give enough time to accomplish the activities on Canvas. 
121,Strongly Disagree,"I cannot open my account in other browser, need security",Strongly Agree,"I really agree, because anywhere I can access my course using mobile canvas app",Strongly Agree,"I really agree, because anywhere I can access my course using mobile canvas app",Strongly Agree,there are lot of computer so I can easily access my canvas account anywhere,Strongly Agree,Proper wiring in computer laboraties,Strongly Agree,Easy to access the person the are assisting student that have problem in canvas,Strongly Agree,Using my mobile devices i access my canvas account.,Strongly Agree,every module have clear explaination,Strongly Agree,The order every module is well organized,Strongly Agree,The bootsrap of canvas is strechable.,Strongly Agree,It fit to any mobile devices.,Strongly Agree,Blended learning implemented in canvas and classrom,Strongly Agree,Lot of help by the use of canvas,Strongly Agree,Material in canvas make my interest rate higher,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Through advance reading it help me to out activity,Strongly Agree,My prof use canvas in classrom very well,Strongly Agree,The prof never disappoint us.,Strongly Agree,Half on canvas and half in classroom,Strongly Agree,Strongly Agree,Strongly Agree,sharing ideas through canvas is good,Strongly Agree,Just need connection to answer assessment material,Strongly Agree,Strongly Agree,Strongly Agree,very well organized in canvas ,Strongly Agree,the time given to us is enought to accomplish every activity
122,Strongly Agree,I have no problem in logging-in/logging-out in my canvas account,Agree,"I do have some problem, because sometimes I'm unable to take the quiz in the canvas app. I answer it using the browser.",Strongly Agree,I have no problem in accessing my course using mobile canvas app ,Strongly Agree,I have no problem in accessing my canvas account using the computers in JRU,Strongly Agree,It causes me no problem.,Strongly Agree,I have no problem in seeking help with problems in my canvas account.,Strongly Agree,It is easy to access outside JRU when you have stable internet.,Strongly Agree,I have no problem in my canvas modules,Strongly Agree,It is easily to understand.,Strongly Agree,I have no problem about it. ,Strongly Agree,I have no problem about it.,Strongly Agree,I have no problem about it.,Strongly Agree,I have no problem about it.,Agree,I have no problem about it.,Agree,Strongly Agree,Strongly Agree,Agree,I have no problem about it.,Strongly Agree,I have no problem about it.,Strongly Agree,I have no problem about it.,Agree,I have no problem about it.,Strongly Agree,Strongly Agree,Strongly Agree,I have no problem about it.,Strongly Agree,I have no problem about it.,Strongly Agree,Strongly Agree,Strongly Agree,I have no problem about it.,Agree,I have no problem about it.
123,Strongly Agree,I can easily login and logout my canvas account ,Strongly Agree,i can access my course using the mobile Canvas app,Strongly Agree,i can access my course using the mobile Canvas app,Strongly Agree,I can access my Canvas account using the available computers in JRU,Strongly Agree,i have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.,Strongly Agree,i can easily get help from the ITBL when i have problems with my Canvas account,Strongly Agree,I can use my canvas through mobile or computer outside JRU,Strongly Agree,I can clearly understand the lessons on my Canvas modules.,Strongly Agree,I do recognize that the modules in my course are well organized.,Strongly Agree,I can easily manage the navigation of the courses through the desktop version.,Agree,I can easily manage the navigation of the courses through the mobile app but sometimes i encounter problems because of bad connection or in the canvas itself.,Strongly Agree,I do notice that it's connected from what is being teach face to face in classroom and online.,Strongly Agree,I do understand the lesson better with the help of course materials in Canvas.,Strongly Agree,Canvas course materials make me interested as i can access it even outside jru.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums, etc.",Strongly Agree,My instructor knows how to use Canvas.,Strongly Agree,My instructor demonstrated mastery of the subject matter.,Strongly Agree,My instructor encourages me to use Canvas. ,Strongly Agree,Strongly Agree,Strongly Agree,"Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions.",Strongly Agree,"I can answer the assessment materials (quiz, exam) posted in Canvas.",Strongly Agree,Strongly Agree,Strongly Agree,"I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, etc.",Strongly Agree,I have been give enough time to accomplish the activities on Canvas.
